"","Site","Stage","Block","Treatment","Plot","DM_kgha","Season"
"140","KS2","R4","E","Unfertilized",506,3014.57553555786,2022
"141","KS2","R6","A","N",101,5683.27967465898,2022
"142","KS2","R6","A","NS",102,8838.16546609267,2022
"143","KS2","R6","A","S",103,8233.19202783929,2022
"144","KS2","R6","A","Full",104,10290.7730422172,2022
"145","KS2","R6","A","Check",105,9097.37995028182,2022
"146","KS2","R6","A","Unfertilized",106,5883.81063705435,2022
"147","KS2","R6","B","S",201,7928.64872841753,2022
"148","KS2","R6","B","Check",202,9479.88876529477,2022
"149","KS2","R6","B","N",203,10411.7896009674,2022
"150","KS2","R6","B","NS",204,10510.272097202,2022
"151","KS2","R6","B","Full",205,11319.5872749466,2022
"152","KS2","R6","B","Unfertilized",206,7558.76324708161,2022
"153","KS2","R6","C","NS",301,10322.1043823461,2022
"154","KS2","R6","C","N",302,9275.03078817734,2022
"155","KS2","R6","C","Full",303,10395.6912028725,2022
"156","KS2","R6","C","Check",304,8179.19418943126,2022
"157","KS2","R6","C","S",305,9347.10940083576,2022
"158","KS2","R6","C","Unfertilized",306,5868.56500928006,2022
"159","KS2","R6","D","Check",401,11805.5264265758,2022
"160","KS2","R6","D","Full",402,11274.3838303437,2022
"161","KS2","R6","D","NS",403,10603.1767858402,2022
"162","KS2","R6","D","S",404,8863.71866575464,2022
"163","KS2","R6","D","N",405,12412.2318087021,2022
"164","KS2","R6","D","Unfertilized",406,8431.76724137931,2022
"165","KS2","R6","E","Unfertilized",506,7099.1784107946,2022
